"TOON","LEVEL","GEARSLOT1","GEARSLOT2","GEARSLOT3","GEARSLOT4","GEARSLOT5","GEARSLOT6"
"dathcha","10","mk-11-blastech-weapon-mod","mk-6-merr-sonn-thermal-detonator","mk-8-biotech-implant","mk-5-carbanti-sensor-array","mk-7-nubian-security-scanner","mk-8-taggeco-holo-lens"
"dathcha","11","mk-7-merr-sonn-shield-generator","mk-8-neuro-saav-electrobinoculars","mk-8-biotech-implant","mk-8-biotech-implant","mk-4-sienar-holo-projector","unknown-gear"
"death-trooper","1","mk-1-akt-stun-gun","mk-1-akt-stun-gun","mk-1-nubian-security-scanner","mk-1-nubian-security-scanner","mk-1-neuro-saav-electrobinoculars","mk-1-blastech-weapon-mod"
"death-trooper","2","mk-1-chiewab-hypo-syringe","mk-3-blastech-weapon-mod","mk-3-loronar-power-cell","mk-1-sienar-holo-projector","mk-1-merr-sonn-shield-generator","mk-1-loronar-power-cell"
"death-trooper","3","mk-3-blastech-weapon-mod","mk-2-merr-sonn-thermal-detonator","mk-3-biotech-implant","mk-5-blastech-weapon-mod","mk-4-fabritech-data-pad","mk-6-blastech-weapon-mod"
"death-trooper","4","mk-2-athakam-medpac","mk-6-baw-armor-mod","mk-5-biotech-implant","mk-4-fabritech-data-pad","mk-1-sienar-holo-projector","mk-3-biotech-implant"
"death-trooper","5","mk-7-fabritech-data-pad","mk-4-merr-sonn-thermal-detonator","mk-7-fabritech-data-pad","mk-4-nubian-security-scanner","mk-3-chiewab-hypo-syringe","mk-5-baw-armor-mod"
"death-trooper","6","mk-4-arakyd-droid-caller","mk-5-sorosuub-keypad","mk-4-sorosuub-keypad","mk-5-sorosuub-keypad","mk-8-blastech-weapon-mod","mk-4-fabritech-data-pad"
"death-trooper","7","mk-8-taggeco-holo-lens","mk-8-taggeco-holo-lens","mk-7-taggeco-holo-lens","mk-8-blastech-weapon-mod","mk-3-sienar-holo-projector","mk-4-chiewab-hypo-syringe"
"death-trooper","8","mk-5-cec-fusion-furnace","mk-6-chiewab-hypo-syringe","mk-3-carbanti-sensor-array","mk-3-czerka-stun-cuffs","mk-8-taggeco-holo-lens","mk-1-carbanti-sensor-array"
"death-trooper","9","mk-6-nubian-design-tech","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun","mk-6-chiewab-hypo-syringe","mk-5-sorosuub-keypad","mk-4-sorosuub-keypad"
"death-trooper","10","mk-6-merr-sonn-thermal-detonator","mk-9-fabritech-data-pad","mk-8-biotech-implant","mk-5-akt-stun-gun","mk-7-merr-sonn-shield-generator","mk-8-blastech-weapon-mod"
"death-trooper","11","mk-6-merr-sonn-thermal-detonator","unknown-gear","mk-3-zaltin-bacta-gel","mk-5-akt-stun-gun","mk-10-blastech-weapon-mod","mk-9-neuro-saav-electrobinoculars"
"dengar","1","mk-1-blastech-weapon-mod","mk-1-baw-armor-mod","mk-1-nubian-security-scanner","mk-1-fabritech-data-pad","mk-1-neuro-saav-electrobinoculars","mk-1-akt-stun-gun"
"dengar","2","mk-1-nubian-security-scanner","mk-1-chiewab-hypo-syringe","mk-2-cec-fusion-furnace","mk-3-loronar-power-cell","mk-2-fabritech-data-pad","mk-1-sienar-holo-projector"
"dengar","3","mk-4-blastech-weapon-mod","mk-4-biotech-implant","mk-1-merr-sonn-thermal-detonator","mk-4-baw-armor-mod","mk-6-loronar-power-cell","mk-5-neuro-saav-electrobinoculars"
"dengar","4","mk-1-merr-sonn-thermal-detonator","mk-4-fabritech-data-pad","mk-6-fabritech-data-pad","mk-2-merr-sonn-shield-generator","mk-3-chiewab-hypo-syringe","mk-5-taggeco-holo-lens"
"dengar","5","mk-4-fabritech-data-pad","mk-2-merr-sonn-shield-generator","mk-6-baw-armor-mod","mk-6-taggeco-holo-lens","mk-4-chiewab-hypo-syringe","mk-4-merr-sonn-thermal-detonator"
"dengar","6","mk-1-merr-sonn-thermal-detonator","mk-4-sorosuub-keypad","mk-4-arakyd-droid-caller","mk-5-sorosuub-keypad","mk-5-sorosuub-keypad","mk-8-blastech-weapon-mod"
"dengar","7","mk-4-arakyd-droid-caller","mk-6-biotech-implant","mk-3-carbanti-sensor-array","mk-8-taggeco-holo-lens","mk-7-taggeco-holo-lens","mk-3-carbanti-sensor-array"
"dengar","8","mk-4-arakyd-droid-caller","mk-6-neuro-saav-electrobinoculars","mk-7-taggeco-holo-lens","mk-3-carbanti-sensor-array","mk-3-czerka-stun-cuffs","mk-5-arakyd-droid-caller"
"dengar","9","mk-3-carbanti-sensor-array","mk-3-carbanti-sensor-array","mk-5-akt-stun-gun","mk-5-cec-fusion-furnace","mk-7-nubian-security-scanner","mk-5-merr-sonn-thermal-detonator"
"dengar","10","mk-10-blastech-weapon-mod","mk-4-carbanti-sensor-array","mk-9-neuro-saav-electrobinoculars","mk-9-neuro-saav-electrobinoculars","mk-8-biotech-implant","mk-3-zaltin-bacta-gel"
"dengar","11","mk-8-biotech-implant","mk-11-blastech-weapon-mod","mk-6-merr-sonn-thermal-detonator","unknown-gear","unknown-gear","mk-10-blastech-weapon-mod"
"director-krennic","1","mk-1-biotech-implant","mk-1-cec-fusion-furnace","mk-1-akt-stun-gun","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars","mk-1-akt-stun-gun"
"director-krennic","2","mk-3-neuro-saav-electrobinoculars","mk-2-baw-armor-mod","mk-3-baw-armor-mod","mk-1-merr-sonn-shield-generator","mk-1-neuro-saav-electrobinoculars","mk-1-nubian-design-tech"
"director-krennic","3","mk-4-taggeco-holo-lens","mk-3-akt-stun-gun","mk-3-biotech-implant","mk-3-blastech-weapon-mod","mk-3-baw-armor-mod","mk-3-neuro-saav-electrobinoculars"
"director-krennic","4","mk-4-nubian-design-tech","mk-3-merr-sonn-thermal-detonator","mk-3-chiewab-hypo-syringe","mk-5-blastech-weapon-mod","mk-5-loronar-power-cell","mk-4-nubian-design-tech"
"director-krennic","5","mk-7-loronar-power-cell","mk-2-carbanti-sensor-array","mk-7-baw-armor-mod","mk-4-nubian-design-tech","mk-5-loronar-power-cell","mk-3-chiewab-hypo-syringe"
"director-krennic","6","mk-5-nubian-design-tech","mk-7-neuro-saav-electrobinoculars","mk-7-loronar-power-cell","mk-3-chiewab-hypo-syringe","mk-3-chiewab-hypo-syringe","mk-5-loronar-power-cell"
"director-krennic","7","mk-8-taggeco-holo-lens","mk-8-taggeco-holo-lens","mk-7-taggeco-holo-lens","mk-8-blastech-weapon-mod","mk-3-sienar-holo-projector","mk-4-chiewab-hypo-syringe"
"director-krennic","8","mk-5-cec-fusion-furnace","mk-6-chiewab-hypo-syringe","mk-3-carbanti-sensor-array","mk-3-czerka-stun-cuffs","mk-8-taggeco-holo-lens","mk-1-carbanti-sensor-array"
"director-krennic","9","mk-6-nubian-design-tech","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun","mk-6-chiewab-hypo-syringe","mk-5-sorosuub-keypad","mk-4-sorosuub-keypad"
"director-krennic","10","mk-6-cec-fusion-furnace","mk-3-zaltin-bacta-gel","mk-5-athakam-medpac","mk-10-taggeco-holo-lens","mk-8-neuro-saav-electrobinoculars","mk-5-athakam-medpac"
"director-krennic","11","mk-6-cec-fusion-furnace","mk-8-neuro-saav-electrobinoculars","unknown-gear","unknown-gear","unknown-gear","mk-8-baw-armor-mod"
"eeth-koth","1","mk-1-blastech-weapon-mod","mk-1-baw-armor-mod","mk-1-neuro-saav-electrobinoculars","mk-1-taggeco-holo-lens","mk-1-arakyd-droid-caller","mk-1-biotech-implant"
"eeth-koth","2","mk-1-biotech-implant","mk-2-baw-armor-mod","mk-2-neuro-saav-electrobinoculars","mk-3-taggeco-holo-lens","mk-2-sorosuub-keypad","mk-2-arakyd-droid-caller"
"eeth-koth","3","mk-2-baw-armor-mod","mk-2-loronar-power-cell","mk-3-taggeco-holo-lens","mk-3-nubian-security-scanner","mk-2-chedak-comlink","mk-5-blastech-weapon-mod"
"eeth-koth","4","mk-2-baw-armor-mod","mk-3-nubian-security-scanner","mk-2-chedak-comlink","mk-4-merr-sonn-shield-generator","mk-5-loronar-power-cell","mk-3-merr-sonn-thermal-detonator"
"eeth-koth","5","mk-2-loronar-power-cell","mk-3-merr-sonn-shield-generator","mk-5-blastech-weapon-mod","mk-3-chiewab-hypo-syringe","mk-5-merr-sonn-shield-generator","mk-2-carbanti-sensor-array"
"eeth-koth","6","mk-2-baw-armor-mod","mk-3-nubian-security-scanner","mk-3-merr-sonn-thermal-detonator","mk-7-fabritech-data-pad","mk-1-zaltin-bacta-gel","mk-4-cec-fusion-furnace"
"eeth-koth","7","mk-3-fabritech-data-pad","mk-5-blastech-weapon-mod","mk-3-chiewab-hypo-syringe","mk-7-baw-armor-mod","mk-6-nubian-security-scanner","mk-3-athakam-medpac"
"eeth-koth","8","mk-3-merr-sonn-shield-generator","mk-3-merr-sonn-thermal-detonator","mk-4-nubian-design-tech","mk-3-nubian-design-tech","mk-6-nubian-security-scanner","mk-5-arakyd-droid-caller"
"eeth-koth","9","mk-3-fabritech-data-pad","mk-7-loronar-power-cell","mk-4-sorosuub-keypad","mk-6-nubian-security-scanner","mk-7-nubian-security-scanner","mk-5-carbanti-sensor-array"
"eeth-koth","10","mk-6-merr-sonn-thermal-detonator","mk-6-nubian-design-tech","mk-5-arakyd-droid-caller","mk-8-baw-armor-mod","mk-10-blastech-weapon-mod","mk-7-nubian-security-scanner"
"eeth-koth","11","mk-10-taggeco-holo-lens","mk-8-biotech-implant","mk-8-biotech-implant","mk-4-carbanti-sensor-array","mk-6-merr-sonn-thermal-detonator","unknown-gear"
"emperor-palpatine","1","mk-1-biotech-implant","mk-1-biotech-implant","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars","mk-1-akt-stun-gun","mk-1-akt-stun-gun"
"emperor-palpatine","2","mk-1-czerka-stun-cuffs","mk-2-baw-armor-mod","mk-1-nubian-design-tech","mk-1-nubian-design-tech","mk-3-neuro-saav-electrobinoculars","mk-3-neuro-saav-electrobinoculars"
"emperor-palpatine","3","mk-3-akt-stun-gun","mk-3-neuro-saav-electrobinoculars","mk-2-arakyd-droid-caller","mk-5-loronar-power-cell","mk-3-fabritech-data-pad","mk-2-merr-sonn-shield-generator"
"emperor-palpatine","4","mk-5-blastech-weapon-mod","mk-3-chiewab-hypo-syringe","mk-3-chiewab-hypo-syringe","mk-3-chiewab-hypo-syringe","mk-3-merr-sonn-thermal-detonator","mk-4-nubian-design-tech"
"emperor-palpatine","5","mk-2-merr-sonn-shield-generator","mk-3-chiewab-hypo-syringe","mk-3-chiewab-hypo-syringe","mk-7-baw-armor-mod","mk-2-carbanti-sensor-array","mk-1-zaltin-bacta-gel"
"emperor-palpatine","6","mk-2-merr-sonn-shield-generator","mk-3-chiewab-hypo-syringe","mk-4-akt-stun-gun","mk-4-akt-stun-gun","mk-7-neuro-saav-electrobinoculars","mk-5-nubian-design-tech"
"emperor-palpatine","7","mk-4-nubian-design-tech","mk-4-akt-stun-gun","mk-7-fabritech-data-pad","mk-7-neuro-saav-electrobinoculars","mk-3-athakam-medpac","mk-7-neuro-saav-electrobinoculars"
"emperor-palpatine","8","mk-3-sienar-holo-projector","mk-7-loronar-power-cell","mk-7-neuro-saav-electrobinoculars","mk-8-taggeco-holo-lens","mk-3-athakam-medpac","mk-5-arakyd-droid-caller"
"emperor-palpatine","9","mk-3-chiewab-hypo-syringe","mk-3-sienar-holo-projector","mk-3-athakam-medpac","mk-7-nubian-security-scanner","mk-8-baw-armor-mod","mk-5-carbanti-sensor-array"
"emperor-palpatine","10","mk-5-carbanti-sensor-array","mk-8-baw-armor-mod","mk-10-taggeco-holo-lens","mk-8-neuro-saav-electrobinoculars","mk-5-athakam-medpac","mk-6-cec-fusion-furnace"
"emperor-palpatine","11","mk-7-merr-sonn-shield-generator","unknown-gear","mk-6-cec-fusion-furnace","unknown-gear","unknown-gear","unknown-gear"
"ewok-elder","1","mk-1-neuro-saav-electrobinoculars","mk-1-taggeco-holo-lens","mk-1-loronar-power-cell","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-cec-fusion-furnace"
"ewok-elder","2","mk-1-taggeco-holo-lens","mk-1-merr-sonn-shield-generator","mk-2-nubian-security-scanner","mk-2-biotech-implant","mk-3-taggeco-holo-lens","mk-3-blastech-weapon-mod"
"ewok-elder","3","mk-2-nubian-security-scanner","mk-2-biotech-implant","mk-2-sorosuub-keypad","mk-3-fabritech-data-pad","mk-3-arakyd-droid-caller","mk-4-biotech-implant"
"ewok-elder","4","mk-1-arakyd-droid-caller","mk-3-taggeco-holo-lens","mk-4-blastech-weapon-mod","mk-3-cec-fusion-furnace","mk-3-arakyd-droid-caller","mk-2-athakam-medpac"
"ewok-elder","5","mk-4-neuro-saav-electrobinoculars","mk-3-cec-fusion-furnace","mk-1-merr-sonn-thermal-detonator","mk-4-loronar-power-cell","mk-4-nubian-design-tech","mk-4-chiewab-hypo-syringe"
"ewok-elder","6","mk-2-chedak-comlink","mk-2-nubian-design-tech","mk-2-chiewab-hypo-syringe","mk-5-biotech-implant","mk-2-czerka-stun-cuffs","mk-8-blastech-weapon-mod"
"ewok-elder","7","mk-3-cec-fusion-furnace","mk-1-merr-sonn-thermal-detonator","mk-3-biotech-implant","mk-1-carbanti-sensor-array","mk-2-sienar-holo-projector","mk-8-fabritech-data-pad"
"ewok-elder","8","mk-5-biotech-implant","mk-2-athakam-medpac","mk-7-loronar-power-cell","mk-3-sienar-holo-projector","mk-5-nubian-design-tech","mk-5-cec-fusion-furnace"
"ewok-elder","9","mk-6-blastech-weapon-mod","mk-2-merr-sonn-shield-generator","mk-5-merr-sonn-shield-generator","mk-4-sorosuub-keypad","mk-6-merr-sonn-shield-generator","mk-6-nubian-design-tech"
"ewok-elder","10","mk-9-fabritech-data-pad","mk-9-fabritech-data-pad","mk-4-sienar-holo-projector","mk-7-merr-sonn-shield-generator","mk-6-nubian-security-scanner","mk-4-arakyd-droid-caller"
"ewok-elder","11","mk-6-merr-sonn-thermal-detonator","unknown-gear","mk-3-zaltin-bacta-gel","mk-10-taggeco-holo-lens","mk-5-athakam-medpac","mk-9-fabritech-data-pad"
"ewok-scout","1","mk-1-blastech-weapon-mod","mk-1-neuro-saav-electrobinoculars","mk-1-taggeco-holo-lens","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-biotech-implant"
"ewok-scout","2","mk-1-neuro-saav-electrobinoculars","mk-1-merr-sonn-shield-generator","mk-2-nubian-security-scanner","mk-1-sorosuub-keypad","mk-2-biotech-implant","mk-3-blastech-weapon-mod"
"ewok-scout","3","mk-2-nubian-security-scanner","mk-1-sorosuub-keypad","mk-2-biotech-implant","mk-1-sienar-holo-projector","mk-3-cec-fusion-furnace","mk-3-arakyd-droid-caller"
"ewok-scout","4","mk-1-sorosuub-keypad","mk-2-fabritech-data-pad","mk-3-cec-fusion-furnace","mk-3-arakyd-droid-caller","mk-5-biotech-implant","mk-2-sienar-holo-projector"
"ewok-scout","5","mk-2-fabritech-data-pad","mk-4-neuro-saav-electrobinoculars","mk-1-merr-sonn-thermal-detonator","mk-4-taggeco-holo-lens","mk-2-sienar-holo-projector","mk-2-czerka-stun-cuffs"
"ewok-scout","6","mk-3-baw-armor-mod","mk-2-chedak-comlink","mk-2-nubian-design-tech","mk-2-sienar-holo-projector","mk-2-czerka-stun-cuffs","mk-8-blastech-weapon-mod"
"ewok-scout","7","mk-4-neuro-saav-electrobinoculars","mk-4-nubian-design-tech","mk-2-sienar-holo-projector","mk-2-athakam-medpac","mk-7-loronar-power-cell","mk-8-fabritech-data-pad"
"ewok-scout","8","mk-3-arakyd-droid-caller","mk-6-blastech-weapon-mod","mk-5-biotech-implant","mk-8-blastech-weapon-mod","mk-2-zaltin-bacta-gel","mk-5-cec-fusion-furnace"
"ewok-scout","9","mk-2-nubian-design-tech","mk-2-athakam-medpac","mk-4-sorosuub-keypad","mk-6-nubian-security-scanner","mk-6-chiewab-hypo-syringe","mk-6-nubian-design-tech"
"ewok-scout","10","mk-9-fabritech-data-pad","mk-6-nubian-design-tech","mk-10-blastech-weapon-mod","mk-3-zaltin-bacta-gel","mk-6-chiewab-hypo-syringe","mk-7-nubian-security-scanner"
"ewok-scout","11","mk-9-neuro-saav-electrobinoculars","mk-3-zaltin-bacta-gel","mk-10-taggeco-holo-lens","mk-10-blastech-weapon-mod","unknown-gear","unknown-gear"
"ezra-bridger","1","mk-1-loronar-power-cell","mk-1-cec-fusion-furnace","mk-1-akt-stun-gun","mk-1-neuro-saav-electrobinoculars","mk-1-nubian-security-scanner","mk-1-loronar-power-cell"
"ezra-bridger","2","mk-3-baw-armor-mod","mk-3-blastech-weapon-mod","mk-2-sorosuub-keypad","mk-1-sorosuub-keypad","mk-2-nubian-security-scanner","mk-1-merr-sonn-shield-generator"
"ezra-bridger","3","mk-5-biotech-implant","mk-4-fabritech-data-pad","mk-5-blastech-weapon-mod","mk-3-arakyd-droid-caller","mk-4-baw-armor-mod","mk-3-biotech-implant"
"ezra-bridger","4","mk-2-athakam-medpac","mk-2-sienar-holo-projector","mk-3-chiewab-hypo-syringe","mk-2-merr-sonn-shield-generator","mk-3-arakyd-droid-caller","mk-4-blastech-weapon-mod"
"ezra-bridger","5","mk-4-merr-sonn-thermal-detonator","mk-7-fabritech-data-pad","mk-2-athakam-medpac","mk-3-chiewab-hypo-syringe","mk-5-biotech-implant","mk-5-baw-armor-mod"
"ezra-bridger","6","mk-4-cec-fusion-furnace","mk-4-sorosuub-keypad","mk-2-czerka-stun-cuffs","mk-7-fabritech-data-pad","mk-4-fabritech-data-pad","mk-4-arakyd-droid-caller"
"ezra-bridger","7","mk-6-chiewab-hypo-syringe","mk-3-carbanti-sensor-array","mk-8-taggeco-holo-lens","mk-2-zaltin-bacta-gel","mk-4-arakyd-droid-caller","mk-5-chiewab-hypo-syringe"
"ezra-bridger","8","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun","mk-3-czerka-stun-cuffs","mk-8-taggeco-holo-lens","mk-2-zaltin-bacta-gel","mk-3-sienar-holo-projector"
"ezra-bridger","9","mk-6-nubian-design-tech","mk-5-cec-fusion-furnace","mk-6-chiewab-hypo-syringe","mk-3-chedak-comlink","mk-3-carbanti-sensor-array","mk-3-chiewab-hypo-syringe"
"ezra-bridger","10","mk-6-merr-sonn-thermal-detonator","mk-5-athakam-medpac","mk-8-biotech-implant","mk-5-akt-stun-gun","mk-7-merr-sonn-shield-generator","mk-2-athakam-medpac"
"ezra-bridger","11","mk-6-merr-sonn-thermal-detonator","mk-8-biotech-implant","mk-8-biotech-implant","unknown-gear","unknown-gear","unknown-gear"
"finn","1","mk-1-nubian-security-scanner","mk-1-nubian-security-scanner","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-baw-armor-mod","mk-1-neuro-saav-electrobinoculars"
"finn","2","mk-1-sienar-holo-projector","mk-1-sorosuub-keypad","mk-2-fabritech-data-pad","mk-2-biotech-implant","mk-2-loronar-power-cell","mk-1-nubian-security-scanner"
"finn","3","mk-1-akt-stun-gun","mk-3-merr-sonn-shield-generator","mk-1-merr-sonn-thermal-detonator","mk-4-baw-armor-mod","mk-4-fabritech-data-pad","mk-6-loronar-power-cell"
"finn","4","mk-3-neuro-saav-electrobinoculars","mk-3-biotech-implant","mk-5-neuro-saav-electrobinoculars","mk-6-fabritech-data-pad","mk-5-merr-sonn-shield-generator","mk-3-nubian-design-tech"
"finn","5","mk-2-chiewab-hypo-syringe","mk-3-sorosuub-keypad","mk-6-blastech-weapon-mod","mk-5-taggeco-holo-lens","mk-6-loronar-power-cell","mk-6-taggeco-holo-lens"
"finn","6","mk-1-chedak-comlink","mk-2-merr-sonn-thermal-detonator","mk-5-fabritech-data-pad","mk-5-merr-sonn-shield-generator","mk-5-nubian-security-scanner","mk-6-biotech-implant"
"finn","7","mk-4-loronar-power-cell","mk-3-nubian-design-tech","mk-1-zaltin-bacta-gel","mk-5-nubian-security-scanner","mk-4-arakyd-droid-caller","mk-3-carbanti-sensor-array"
"finn","8","mk-4-baw-armor-mod","mk-6-fabritech-data-pad","mk-4-sorosuub-keypad","mk-3-athakam-medpac","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun"
"finn","9","mk-6-blastech-weapon-mod","mk-4-nubian-design-tech","mk-7-loronar-power-cell","mk-8-blastech-weapon-mod","mk-5-akt-stun-gun","mk-5-merr-sonn-thermal-detonator"
"finn","10","mk-1-carbanti-sensor-array","mk-4-sorosuub-keypad","mk-3-carbanti-sensor-array","mk-9-blastech-weapon-mod","mk-7-nubian-security-scanner","mk-4-sienar-holo-projector"
"finn","11","mk-7-nubian-security-scanner","mk-6-merr-sonn-thermal-detonator","unknown-gear","mk-7-merr-sonn-shield-generator","unknown-gear","mk-8-biotech-implant"
"first-order-officer","1","mk-1-blastech-weapon-mod","mk-1-loronar-power-cell","mk-1-taggeco-holo-lens","mk-1-cec-fusion-furnace","mk-1-neuro-saav-electrobinoculars","mk-1-biotech-implant"
"first-order-officer","2","mk-1-taggeco-holo-lens","mk-1-sienar-holo-projector","mk-2-nubian-security-scanner","mk-1-nubian-design-tech","mk-3-taggeco-holo-lens","mk-2-sorosuub-keypad"
"first-order-officer","3","mk-2-biotech-implant","mk-3-taggeco-holo-lens","mk-1-sienar-holo-projector","mk-3-fabritech-data-pad","mk-5-blastech-weapon-mod","mk-3-arakyd-droid-caller"
"first-order-officer","4","mk-1-sorosuub-keypad","mk-3-arakyd-droid-caller","mk-3-akt-stun-gun","mk-2-chedak-comlink","mk-7-blastech-weapon-mod","mk-2-sienar-holo-projector"
"first-order-officer","5","mk-1-merr-sonn-thermal-detonator","mk-3-arakyd-droid-caller","mk-5-biotech-implant","mk-3-akt-stun-gun","mk-2-czerka-stun-cuffs","mk-7-fabritech-data-pad"
"first-order-officer","6","mk-4-neuro-saav-electrobinoculars","mk-3-fabritech-data-pad","mk-3-chiewab-hypo-syringe","mk-2-sienar-holo-projector","mk-4-chiewab-hypo-syringe","mk-8-blastech-weapon-mod"
"first-order-officer","7","mk-5-merr-sonn-shield-generator","mk-7-loronar-power-cell","mk-4-sorosuub-keypad","mk-4-arakyd-droid-caller","mk-4-chiewab-hypo-syringe","mk-8-fabritech-data-pad"
"first-order-officer","8","mk-5-fabritech-data-pad","mk-6-fabritech-data-pad","mk-7-taggeco-holo-lens","mk-6-nubian-security-scanner","mk-8-taggeco-holo-lens","mk-5-cec-fusion-furnace"
"first-order-officer","9","mk-4-nubian-design-tech","mk-8-blastech-weapon-mod","mk-5-sorosuub-keypad","mk-3-sienar-holo-projector","mk-8-taggeco-holo-lens","mk-4-carbanti-sensor-array"
"first-order-officer","10","mk-4-athakam-medpac","mk-7-merr-sonn-shield-generator","mk-5-nubian-design-tech","mk-5-biotech-implant","mk-10-taggeco-holo-lens","mk-10-neuro-saav-electrobinoculars"
"first-order-officer","11","mk-10-blastech-weapon-mod","mk-10-neuro-saav-electrobinoculars","mk-8-biotech-implant","mk-9-fabritech-data-pad","mk-3-zaltin-bacta-gel","unknown-gear"
"first-order-stormtrooper","1","mk-1-blastech-weapon-mod","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-taggeco-holo-lens","mk-1-blastech-weapon-mod","mk-2-neuro-saav-electrobinoculars"
"first-order-stormtrooper","2","mk-1-arakyd-droid-caller","mk-1-chiewab-hypo-syringe","mk-2-loronar-power-cell","mk-2-fabritech-data-pad","mk-2-sorosuub-keypad","mk-1-sienar-holo-projector"
"first-order-stormtrooper","3","mk-1-sienar-holo-projector","mk-4-neuro-saav-electrobinoculars","mk-2-chiewab-hypo-syringe","mk-3-merr-sonn-shield-generator","mk-1-merr-sonn-thermal-detonator","mk-4-baw-armor-mod"
"first-order-stormtrooper","4","mk-1-merr-sonn-thermal-detonator","mk-4-baw-armor-mod","mk-6-loronar-power-cell","mk-4-fabritech-data-pad","mk-2-merr-sonn-shield-generator","mk-5-merr-sonn-shield-generator"
"first-order-stormtrooper","5","mk-3-merr-sonn-shield-generator","mk-5-taggeco-holo-lens","mk-2-merr-sonn-thermal-detonator","mk-2-merr-sonn-shield-generator","mk-3-nubian-design-tech","mk-6-taggeco-holo-lens"
"first-order-stormtrooper","6","mk-4-loronar-power-cell","mk-1-merr-sonn-thermal-detonator","mk-4-fabritech-data-pad","mk-2-athakam-medpac","mk-6-loronar-power-cell","mk-6-biotech-implant"
"first-order-stormtrooper","7","mk-1-merr-sonn-thermal-detonator","mk-4-nubian-design-tech","mk-5-taggeco-holo-lens","mk-6-taggeco-holo-lens","mk-6-nubian-security-scanner","mk-3-carbanti-sensor-array"
"first-order-stormtrooper","8","mk-6-taggeco-holo-lens","mk-3-sienar-holo-projector","mk-7-biotech-implant","mk-6-neuro-saav-electrobinoculars","mk-3-carbanti-sensor-array","mk-5-akt-stun-gun"
"first-order-stormtrooper","9","mk-3-czerka-stun-cuffs","mk-3-carbanti-sensor-array","mk-3-carbanti-sensor-array","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun","mk-5-merr-sonn-thermal-detonator"
"first-order-stormtrooper","10","mk-4-chedak-comlink","mk-5-cec-fusion-furnace","mk-8-taggeco-holo-lens","mk-4-nubian-security-scanner","mk-2-merr-sonn-thermal-detonator","mk-1-carbanti-sensor-array"
"first-order-stormtrooper","11","unknown-gear","mk-7-nubian-security-scanner","mk-4-sienar-holo-projector","mk-3-carbanti-sensor-array","mk-5-chiewab-hypo-syringe","mk-7-merr-sonn-shield-generator"
"first-order-tie-pilot","1","mk-1-blastech-weapon-mod","mk-1-neuro-saav-electrobinoculars","mk-1-taggeco-holo-lens","mk-1-loronar-power-cell","mk-1-loronar-power-cell","mk-1-fabritech-data-pad"
"first-order-tie-pilot","2","mk-2-nubian-security-scanner","mk-2-blastech-weapon-mod","mk-1-sorosuub-keypad","mk-2-biotech-implant","mk-2-cec-fusion-furnace","mk-3-loronar-power-cell"
"first-order-tie-pilot","3","mk-2-blastech-weapon-mod","mk-1-sorosuub-keypad","mk-2-cec-fusion-furnace","mk-3-nubian-security-scanner","mk-3-cec-fusion-furnace","mk-1-athakam-medpac"
"first-order-tie-pilot","4","mk-1-nubian-security-scanner","mk-3-cec-fusion-furnace","mk-3-arakyd-droid-caller","mk-5-neuro-saav-electrobinoculars","mk-5-biotech-implant","mk-6-baw-armor-mod"
"first-order-tie-pilot","5","mk-3-loronar-power-cell","mk-5-neuro-saav-electrobinoculars","mk-5-biotech-implant","mk-2-sienar-holo-projector","mk-2-athakam-medpac","mk-4-merr-sonn-thermal-detonator"
"first-order-tie-pilot","6","mk-2-chedak-comlink","mk-5-biotech-implant","mk-2-sienar-holo-projector","mk-4-merr-sonn-thermal-detonator","mk-4-arakyd-droid-caller","mk-8-blastech-weapon-mod"
"first-order-tie-pilot","7","mk-3-arakyd-droid-caller","mk-1-athakam-medpac","mk-2-athakam-medpac","mk-4-sorosuub-keypad","mk-8-blastech-weapon-mod","mk-2-zaltin-bacta-gel"
"first-order-tie-pilot","8","mk-3-akt-stun-gun","mk-1-merr-sonn-thermal-detonator","mk-5-biotech-implant","mk-5-merr-sonn-shield-generator","mk-8-blastech-weapon-mod","mk-5-cec-fusion-furnace"
"first-order-tie-pilot","9","mk-3-loronar-power-cell","mk-5-biotech-implant","mk-2-athakam-medpac","mk-2-zaltin-bacta-gel","mk-5-cec-fusion-furnace","mk-6-nubian-design-tech"
"first-order-tie-pilot","10","mk-4-chedak-comlink","mk-5-cec-fusion-furnace","mk-8-taggeco-holo-lens","mk-4-nubian-security-scanner","mk-2-merr-sonn-thermal-detonator","mk-1-carbanti-sensor-array"
